id,article_id,author_id
214,10,11
614,47,38
220,9,4
221,11,13
223,12,14
616,53,5
225,14,16
226,17,21
84,4,7
85,3,4
87,1,1
88,1,2
822,112,71
630,62,39
95,7,9
98,2,3
633,48,40
100,6,3
102,5,5
533,45,39
104,8,6
638,52,52
639,51,45
309,28,7
537,36,32
538,35,40
312,18,14
539,32,30
314,21,3
315,22,3
640,49,51
318,25,11
319,26,25
320,27,26
321,19,18
206,13,15
208,16,19
644,31,12
325,24,28
836,103,81
327,20,5
547,43,13
329,29,3
548,38,36
837,100,3
844,119,71
845,117,94
846,116,93
554,39,37
848,115,82
851,111,83
855,113,60
856,113,92
668,67,57
669,67,2
670,68,58
857,113,71
565,30,40
566,15,18
671,68,6
568,23,3
672,71,60
858,110,39
860,118,95
862,114,92
863,109,91
680,65,52
681,63,56
683,78,39
685,69,39
686,64,5
688,66,13
691,80,67
692,81,52
693,82,68
694,79,59
695,56,54
605,57,48
606,58,30
714,83,69
730,91,73
733,92,48
734,92,60
735,93,26
736,94,32
740,88,26
741,87,71
742,86,69
743,85,70
744,84,69
747,95,74
749,97,71
750,98,59
756,101,28
757,99,78
786,102,71
790,104,17
791,108,26
792,106,39
871,120,100
879,122,101
880,128,71
881,127,105
882,126,82
886,121,26
887,129,39
889,123,102
890,125,103
892,124,23
904,133,116
909,139,92
910,132,115
912,134,101
914,138,83
918,135,117
921,140,39
923,141,83
925,130,113
926,136,91
928,142,113
929,137,118
935,143,120
939,144,121
940,131,114
